1	m	B
9	m	M
9	m	M
8	m	M
0	m	M
1	m	M
0	m	M
1	m	M
-	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
1	m	E
迈	v	B
向	v	E
充	v	B
满	v	E
希	n	B
望	n	E
的	u	S
新	a	S
世	n	B
纪	n	E
—	w	B
—	w	E
一	t	B
九	t	M
九	t	M
八	t	M
年	t	E
新	t	B
年	t	E
讲	n	B
话	n	E
（	w	S
附	v	S
图	n	B
片	n	E
１	m	S
张	q	S
）	w	S

1	m	B
9	m	M
9	m	M
8	m	M
0	m	M
1	m	M
0	m	M
1	m	M
-	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
2	m	E
中	nt	B
共	nt	M
中	nt	M
央	nt	E
总	n	B
书	n	M
记	n	E
、	w	S
国	n	B
家	n	E
主	n	B
席	n	E
江	nr	S
泽	nr	B
民	nr	E

1	m	B
9	m	M
9	m	M
8	m	M
0	m	M
1	m	M
0	m	M
1	m	M
-	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
3	m	E
（	w	S
一	t	B
九	t	M
九	t	M
七	t	M
年	t	E
十	t	B
二	t	M
月	t	E
三	t	B
十	t	M
一	t	M
日	t	E
）	w	S

1	m	B
9	m	M
9	m	M
8	m	M
0	m	M
1	m	M
0	m	M
1	m	M
-	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
4	m	E
１	t	B
２	t	M
月	t	E
３	t	B
１	t	M
日	t	E
，	w	S
中	nt	B
共	nt	M
中	nt	M
央	nt	E
总	n	B
书	n	M
记	n	E
、	w	S
国	n	B
家	n	E
主	n	B
席	n	E
江	nr	S
泽	nr	B
民	nr	E
发	v	B
表	v	E
１	t	B
９	t	M
９	t	M
８	t	M
年	t	E
新	t	B
年	t	E
讲	n	B
话	n	E
《	w	S
迈	v	B
向	v	E
充	v	B
满	v	E
希	n	B
望	n	E
的	u	S
新	a	S
世	n	B
纪	n	E
》	w	S
。	w	S
（	w	S
新	nt	B
华	nt	M
社	nt	E
记	n	B
者	n	E
兰	nr	S
红	nr	B
光	nr	E
摄	Vg	S
）	w	S

1	m	B
9	m	M
9	m	M
8	m	M
0	m	M
1	m	M
0	m	M
1	m	M
-	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
5	m	E
同	n	B
胞	n	E
们	k	S
、	w	S
朋	n	B
友	n	E
们	k	S
、	w	S
女	n	B
士	n	E
们	k	S
、	w	S
先	n	B
生	n	E
们	k	S
：	w	S

1	m	B
9	m	M
9	m	M
8	m	M
0	m	M
1	m	M
0	m	M
1	m	M
-	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
6	m	E
在	p	S
１	t	B
９	t	M
９	t	M
８	t	M
年	t	E
来	v	B
临	v	E
之	f	B
际	f	E
，	w	S
我	r	S
十	m	B
分	m	E
高	a	B
兴	a	E
地	u	S
通	p	B
过	p	E
[	n	B
中	n	M
央	n	E
人	n	B
民	n	E
广	vn	B
播	vn	E
电	n]nt	B
台	n]nt	E
、	w	S
[	ns	B
中	ns	M
国	ns	E
国	n	B
际	n	E
广	vn	B
播	vn	E
电	n]nt	B
台	n]nt	E
和	c	S
[	n	B
中	n	M
央	n	E
电	n]nt	B
视	n]nt	M
台	n]nt	E
，	w	S
向	p	S
全	n	B
国	n	E
各	r	B
族	r	E
人	n	B
民	n	E
，	w	S
向	p	S
[	ns	B
香	ns	M
港	ns	E
特	a	B
别	a	E
行	n]ns	B
政	n]ns	M
区	n]ns	E
同	n	B
胞	n	E
、	w	S
澳	ns	B
门	ns	E
和	c	S
台	ns	B
湾	ns	E
同	n	B
胞	n	E
、	w	S
海	s	B
外	s	E
侨	n	B
胞	n	E
，	w	S
向	p	S
世	n	B
界	n	E
各	r	B
国	r	E
的	u	S
朋	n	B
友	n	E
们	k	S
，	w	S
致	v	B
以	v	E
